,subject,dataset,no_face_frames,multi_face_frames,mark
207,6,UBFC-PHYS,0,0,T1
208,6,UBFC-PHYS,0,0,T2
209,6,UBFC-PHYS,0,0,T3
210,7,UBFC-PHYS,0,0,T1
211,7,UBFC-PHYS,0,0,T2
212,7,UBFC-PHYS,0,0,T3
213,8,UBFC-PHYS,0,0,T1
214,8,UBFC-PHYS,0,0,T2
215,8,UBFC-PHYS,0,0,T3
216,9,UBFC-PHYS,0,0,T1
217,9,UBFC-PHYS,0,0,T2
218,9,UBFC-PHYS,0,0,T3
