video_id,video_path,luminance_mean,luminance_std,blur,hr_error,snr,macc
s56_T1,/work/yj167/DATASET_1/s56/vid_s56_T1.avi,89.73823691368104,0.07350373395454811,26.810354924076847,26.318359389999998,-10.96814491,0.276092881
s24_T2,/work/yj167/DATASET_1/s24/vid_s24_T2.avi,115.31314441680908,1.1393965619981274,22.940274053263938,25.805664059999998,-9.988465014,0.353177645
s42_T1,/work/yj167/DATASET_1/s42/vid_s42_T1.avi,106.9068397808075,0.0910671862363209,22.906228616193793,25.805664059999998,-5.957482973,0.339117177
s1_T2,/work/yj167/DATASET_1/s1/vid_s1_T2.avi,131.09669646263123,1.789420038973837,16.453331613904446,24.951171869999996,-9.954296994,0.330041068
s7_T2,/work/yj167/DATASET_1/s7/vid_s7_T2.avi,110.92259658813477,2.2193611293154385,69.31408639155339,24.951171869999996,-7.152048025,0.317369141
s2_T2,/work/yj167/DATASET_1/s2/vid_s2_T2.avi,141.24373200416565,1.1931015931456512,14.92865497265343,24.609375,-9.043867111,0.279445709
s39_T2,/work/yj167/DATASET_1/s39/vid_s39_T2.avi,139.05455602645873,0.8127861893756005,16.094867230459176,24.609375,-10.12813064,0.284421676
s25_T1,/work/yj167/DATASET_1/s25/vid_s25_T1.avi,194.21512075424195,0.11273345258759147,14.912691214183651,23.92578125,-4.041685721,0.42048635
s27_T2,/work/yj167/DATASET_1/s27/vid_s27_T2.avi,139.38721774101256,2.161143883105067,15.466582393977879,21.704101570000006,-10.21215686,0.297405323
s8_T2,/work/yj167/DATASET_1/s8/vid_s8_T2.avi,139.30992990493775,4.349433864657882,18.869837577093385,21.704101559999998,-11.17839565,0.252619596
s13_T2,/work/yj167/DATASET_1/s13/vid_s13_T2.avi,123.11298994064332,2.67956342983531,24.144686203592393,21.362304690000002,-9.9630682,0.286902796
s50_T2,/work/yj167/DATASET_1/s50/vid_s50_T2.avi,120.753156747818,3.573274950561847,22.15766763266918,20.849609360000002,-10.46252642,0.316653309
s48_T2,/work/yj167/DATASET_1/s48/vid_s48_T2.avi,141.69010352134705,4.746068894077866,19.983232733576934,20.336914059999998,-9.865902299,0.27020708
s53_T1,/work/yj167/DATASET_1/s53/vid_s53_T1.avi,121.64126752853393,0.08661733414372587,15.291119041001675,20.336914059999998,-17.1198846,0.245724855
s23_T2,/work/yj167/DATASET_1/s23/vid_s23_T2.avi,164.95555472373962,13.203352603585671,14.718008309272127,20.166015630000004,-11.12642769,0.389288441
s30_T1,/work/yj167/DATASET_1/s30/vid_s30_T1.avi,156.38614755630493,0.062407686227105255,25.81717148306768,20.166015619999996,-8.176577122,0.2799233
s40_T1,/work/yj167/DATASET_1/s40/vid_s40_T1.avi,124.53203353881835,0.07937492666519745,21.724618612767618,19.824218799999997,-7.897733588,0.261402027
s16_T1,/work/yj167/DATASET_1/s16/vid_s16_T1.avi,165.0430696487427,0.23630873127862706,50.569867940628164,19.482421900000006,-4.732593863,0.337188078
